=========================================================================
   48.6560    49.3657    50.0521    50.7391    51.4381    52.1508    52.8796    53.6279    54.4005    55.1503    55.8783    56.6134    57.3555    58.1045    58.8600    59.6216    60.3890    61.1617    61.9389    62.7198    63.5035    64.2888    65.0743    65.8583    66.5196    65.8792    65.1575    65.1301    64.3732    63.6131    62.8517    62.0904    61.3306    60.5733    59.8196 
   48.3978     0.0000    50.1160    50.7762    51.4359    52.0916    52.7381    53.3674     0.0000    55.4003    56.1442    56.8973    57.6598    58.4320    59.2142    60.0065    60.8095    61.6235    62.4490    63.2865    64.1365    64.9996    65.8762    66.7665    67.5835    66.7823    65.9545    66.1046    65.2425    64.3806    63.5310    62.6938    61.8687    61.0555    60.2536 
   49.0718    49.7975    50.4544    51.1574    51.8765    52.6158    53.3812    54.1815    55.0298    55.7874    56.5486    57.3203    58.1028    58.8966    59.7023    60.5204    61.3518    62.1973    63.0583    63.9365    64.8341    65.7541    66.7007    67.6799    68.7003    67.6901    66.7261    67.1268    66.1271    65.1691    64.2438    63.3451    62.4687    61.6117    60.7716 
   49.3903    50.0757    50.7587    51.4460    52.1356    52.8243    53.5066    54.1746     0.0000    56.2123    56.9836    57.7647    58.5558    59.3568    60.1676    60.9881    61.8180    62.6565    63.5028    64.3553    65.2115    66.0680    66.9192    67.7571    68.5698    67.7667    66.9388    66.8972    66.1070    65.2890    64.4565    63.6185    62.7807    61.9473    61.1207 
   49.7079    50.4414    51.1857    51.9072    52.6446    53.4022    54.1857    55.0037    55.8691    56.6373    57.4173    58.2072    59.0072    59.8173    60.6377    61.4689    62.3112    63.1656    64.0330    64.9153    65.8151    66.7363    67.6845    68.6679    69.6988    68.6774    67.7034    67.8964    66.8558    65.8730    64.9332    64.0263    63.1453    62.2854    61.4431 
   49.6715     0.0000    51.5045    52.2052    52.9036    53.5991    54.2865    54.9581     0.0000    57.0352    57.8235    58.6218    59.4300    60.2478    61.0750    61.9111    62.7553    63.6066    64.4637    65.3249    66.1881    67.0505    67.9093    68.7586    69.5835    68.7680    67.9280    67.2061    66.4456    65.6614    64.8638    64.0595    63.2532    62.4481    61.6464 
   50.3618    51.1610    51.9141    52.6825    53.4359    54.2050    54.9915    55.7976    56.6316    57.3801    58.1763    58.9844    59.8048    60.6382    61.4849    62.3452    63.2192    64.1067    65.0071    65.9187    66.8383    67.7584    68.6900    69.6852    70.7285    69.6943    68.7077    67.9426    67.0761    66.2222    65.3779    64.5416    63.7126    62.8907    62.0762 
   50.2396    50.8085     0.0000    52.9478    53.7063    54.4871    55.2961    56.0940    56.8674    57.6437    58.4336    59.2340    60.0461    60.8721    61.7152    62.5768    63.4604    64.3710    65.3158    66.3049    67.3703    68.3491    68.9379    69.7953    70.6293    69.8008    68.9479    68.8742    67.9624    67.0545    66.1548    65.2656    64.3881    63.5234    62.6728 
   50.8660    51.5831    52.3277    52.9877    53.6493    54.2952     0.0000    56.3630    57.1304    57.9042    58.6831    59.4635    60.2377    61.0030    61.7795    62.5533    63.3196    64.0720    64.8017    65.3584     0.0000    69.3224    69.7814    70.7407    71.7902    70.7428    69.7429    69.9095    68.8330    67.8100    66.8289    65.8812    64.9609    64.0676    63.2078 
   51.3893    52.1061    52.8385    53.5816    54.3393    55.1233    55.9417    56.6796    57.4675    58.2761    59.1111    59.9992    60.8855    61.5766    62.3872    63.2114    64.0486    64.9010    65.7031    66.2780     0.0000    70.2031    70.4895    70.9263    71.7070    70.8643    69.9976    69.2470    68.4578    67.6445    66.8172    65.9828    65.1462    64.3494    63.6621 
   51.8643    52.5284    53.2371    54.0209    54.7404    55.4670    56.1932    56.9132    57.6342    58.3486    58.8995     0.0000    61.7404    62.3790    63.1962    64.0503    64.9171    65.7884    66.6227    67.2483     0.0000    71.1166    71.4223    71.8401    72.8766    71.8158    70.8025    69.9877    69.0971    68.2186    67.3492    66.4873    65.6322    65.1691    64.4402 
