1,75.92
2,86.14
3,88.42
4,88.8
5,89.32
6,90.72
7,90.84
8,91.26
9,91.94
10,92.4
11,92.24
12,93.2
13,93.16
14,93.6
15,93.32
16,94.14
17,94.58
18,94.44
19,94.66
20,94.48
21,95.04
22,94.94
23,94.88
24,95.3
25,95.06
26,95.42
27,95.36
28,95.94
29,95.84
30,95.7
31,96.46
32,96.78
33,96.64
34,96.96
35,96.94
36,97.38
37,97.32
38,96.88
39,97.22
40,97.64
41,97.16
42,97.3
43,97.14
44,97.44
45,97.42
46,97.44
47,98.06
48,98.16
49,98.14
50,98.18
51,97.78
52,98.12
53,98.08
54,98.32
55,98.18
56,97.96
57,98.34
58,98.2
59,98.38
60,98.18
61,98.14
62,98.14
63,99.04
64,98.72
65,98.64
66,99.02
67,98.84
68,98.8
69,98.82
70,98.6
71,98.8
72,99.0
73,98.38
74,98.64
75,98.62
76,98.7
77,98.96
78,98.9
79,99.02
80,98.96
81,99.5
82,99.06
83,98.96
84,99.32
85,99.22
86,99.2
87,99.18
88,99.48
89,98.96
90,99.26
91,99.26
92,99.28
93,99.46
94,99.24
95,99.38
96,99.48
97,99.62
98,99.44
99,99.44
100,99.36
101,99.34
102,99.54
103,99.34
104,99.4
105,99.22
106,99.6
107,99.36
108,99.56
109,99.56
110,99.48
111,99.48
112,99.34
113,99.52
114,99.4
115,99.58
116,99.76
117,99.7
118,99.56
119,99.54
120,99.6
121,99.54
122,99.68
123,99.5
124,99.46
125,99.46
126,99.68
127,99.58
128,99.82
129,99.7
130,99.66
131,99.42
132,99.72
133,99.82
134,99.72
135,99.7
136,99.52
137,99.66
138,99.62
139,99.66
140,99.44
141,99.58
142,99.52
143,99.48
144,99.66
145,99.74
146,99.58
147,99.64
148,99.84
149,99.8
150,99.9
151,99.8
152,99.74
153,99.78
154,99.8
155,99.74
156,99.76
157,99.76
158,99.88
159,99.84
160,99.84
161,99.8
162,99.66
163,99.78
164,99.88
165,99.82
166,99.92
167,99.86
168,99.78
169,99.84
170,99.84
171,99.9
172,99.96
173,99.92
174,99.74
175,99.88
176,99.92
177,99.7
178,99.84
179,99.8
180,99.94
181,99.92
182,99.8
183,99.88
184,99.92
185,99.9
186,99.92
187,99.92
188,99.84
189,99.88
190,99.96
191,99.94
192,99.82
193,99.88
194,100.0
195,100.0
196,100.0
197,100.0
198,100.0
199,100.0
