k,accuracy,time_taken
1,90.49429657794677,60.364
6,87.45247148288973,60.583
11,90.11406844106463,60.224
16,89.73384030418251,60.485
21,87.45247148288973,60.416
26,85.93155893536121,60.451
31,85.55133079847909,60.667
36,85.17110266159696,60.531
41,85.17110266159696,60.487
46,84.4106463878327,60.588

